,movie_names,released_year,director,genre,cast,length,video/audio_name
1,Gravity,2013,Alfonso Cuarón,"Drama, Sci-Fi, Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",91,Gravity_Clip1
2,Gravity,2013,Alfonso Cuarón,"Drama, Sci-Fi, Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",91,Gravity_Clip2
3,Gravity,2013,Alfonso Cuarón,"Drama, Sci-Fi, Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",91,Gravity_Clip3
4,Blade Runner,1982,Ridley Scott,"Action, Sci-Fi, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",117, BladeRunner_Clip1
5,Blade Runner,1982,Ridley Scott,"Action, Sci-Fi, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",117, BladeRunner_Clip2
6,Blade Runner,1982,Ridley Scott,"Action, Sci-Fi, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",117, BladeRunner_Clip3
7,PulpFiction,1994,Quentin Tarantino, "Action, Krimi, Drama","John Travolta, Uma Thurman, Samuel L. Jackson",154,PulpFiction_Clip1
8,PulpFiction,1994,Quentin Tarantino, "Action, Krimi, Drama","John Travolta, Uma Thurman, Samuel L. Jackson",154,PulpFiction_Clip2
9,PulpFiction,1994,Quentin Tarantino, "Action, Krimi, Drama","John Travolta, Uma Thurman, Samuel L. Jackson",154,PulpFiction_Clip3
10,The Dark Knight,2008,Christopher Nolan, "Action, Krimi, Drama","Christian Bale, Heath Ledger, Aaron Eckhart",152,TheDarkKnight_Clip1
11,The Dark Knight,2008,Christopher Nolan, "Action, Krimi, Drama","Christian Bale, Heath Ledger, Aaron Eckhart",152,TheDarkKnight_Clip2
12,The Dark Knight,2008,Christopher Nolan, "Action, Krimi, Drama","Christian Bale, Heath Ledger, Aaron Eckhart",152,TheDarkKnight_Clip3
13,The Godfather,1972,Francis Ford Coppola, "Krimi, Drama", "Marlon Brando, Al Pacino, James Caan",175,TheGodfather_Clip1
14,The Godfather,1972,Francis Ford Coppola, "Krimi, Drama", "Marlon Brando, Al Pacino, James Caan",175,TheGodfather_Clip2
15,The Godfather,1972,Francis Ford Coppola, "Krimi, Drama", "Marlon Brando, Al Pacino, James Caan",175,TheGodfather_Clip3
16,The Shawshank Redemption,1994,Frank Darabont, "Drama","Tim Robbins, Morgan Freeman, Bob Gunton",142,TheShawshankRedemption_Clip1
17,The Shawshank Redemption,1994,Frank Darabont, "Drama","Tim Robbins, Morgan Freeman, Bob Gunton",142,TheShawshankRedemption_Clip2
18,The Shawshank Redemption,1994,Frank Darabont, "Drama","Tim Robbins, Morgan Freeman, Bob Gunton",142,TheShawshankRedemption_Clip2
